constructors_id,constructorId,url,name,nationality
1,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
2,alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
3,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
4,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
5,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
6,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
7,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
8,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
9,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
10,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
11,rb,http://en.wikipedia.org/wiki/RB_Formula_One_Team,RB F1 Team,Italian
12,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
