year,round,name,date,time,raceName
2022,1,Bahrain Grand Prix,2022-03-20,15:00:00Z,Bahrain Grand Prix
2022,2,Saudi Arabian Grand Prix,2022-03-27,17:00:00Z,Saudi Arabian Grand Prix
2022,3,Australian Grand Prix,2022-04-10,05:00:00Z,Australian Grand Prix
2022,4,Emilia Romagna Grand Prix,2022-04-24,13:00:00Z,Emilia Romagna Grand Prix
2022,5,Miami Grand Prix,2022-05-08,19:30:00Z,Miami Grand Prix
2022,6,Spanish Grand Prix,2022-05-22,13:00:00Z,Spanish Grand Prix
2022,7,Monaco Grand Prix,2022-05-29,13:00:00Z,Monaco Grand Prix
2022,8,Azerbaijan Grand Prix,2022-06-12,11:00:00Z,Azerbaijan Grand Prix
2022,9,Canadian Grand Prix,2022-06-19,18:00:00Z,Canadian Grand Prix
2022,10,British Grand Prix,2022-07-03,14:00:00Z,British Grand Prix
2022,11,Austrian Grand Prix,2022-07-10,13:00:00Z,Austrian Grand Prix
2022,12,French Grand Prix,2022-07-24,13:00:00Z,French Grand Prix
2022,13,Hungarian Grand Prix,2022-07-31,13:00:00Z,Hungarian Grand Prix
2022,14,Belgian Grand Prix,2022-08-28,13:00:00Z,Belgian Grand Prix
2022,15,Dutch Grand Prix,2022-09-04,13:00:00Z,Dutch Grand Prix
2022,16,Italian Grand Prix,2022-09-11,13:00:00Z,Italian Grand Prix
2022,17,Singapore Grand Prix,2022-10-02,12:00:00Z,Singapore Grand Prix
2022,18,Japanese Grand Prix,2022-10-09,05:00:00Z,Japanese Grand Prix
2022,19,United States Grand Prix,2022-10-23,19:00:00Z,United States Grand Prix
2022,20,Mexico City Grand Prix,2022-10-30,20:00:00Z,Mexico City Grand Prix
2022,21,São Paulo Grand Prix,2022-11-13,18:00:00Z,São Paulo Grand Prix
2022,22,Abu Dhabi Grand Prix,2022-11-20,13:00:00Z,Abu Dhabi Grand Prix
